"country";"AreaChange";"Trange";"T50";"OverMSY";"Status";"Recovery";"B_SSBrecent";"B_SSBhistoric";"B_Ftrend";"B_Rtrend";"SSB.average";"F.average";"R.average";"species";"RI";"RIdef"
"BE";"BE";0.121676767;6;6;5.026933312;3;15;4892;5617;-0.0124;42160;98966.67;0.7365789;358487179;"Hake";0.635366893881577;0.635366893881577
"DK";"DK";0.121676767;6;6;5.026933312;3;15;4892;5617;-0.0124;42160;98966.67;0.7365789;358487179;"Hake";0.635366893881577;0.635366893881577
"DE";"DE";0.121676767;6;6;5.026933312;3;15;4892;5617;-0.0124;42160;98966.67;0.7365789;358487179;"Hake";0.635366893881577;0.635366893881577
"ES";"ES";0.121676767;6;6;2.24737339266177;3;13.1871571922572;1592.98865846961;1879.88497993176;-0.00103951840481162;459984.010328567;49942.5541455279;0.754021771355634;189880947.326483;"Hake";0.55264967043809;0.55264967043809
"FR";"FR";0.121676767;6;6;4.47718063782424;3;14.6414485708751;4239.50810927858;4877.8581805734;-0.0101530777108175;124798.933384698;89270.4808289766;0.740028822092468;325139552.240696;"Hake";0.623531346100663;0.623531346100663
"NL";"NL";0.121676767;6;6;5.026933312;3;15;4892;5617;-0.0124;42160;98966.67;0.7365789;358487179;"Hake";0.635366893881577;0.635366893881577
"PT";"PT";0.121676767;6;6;0.427152392;3;12;-567.4;-567.4;0.0064;733600;17838.65;0.7654444;79467568;"Hake";0.339727236358146;0.339727236358146
"SE";"SE";0.121676767;6;6;5.026933312;3;15;4892;5617;-0.0124;42160;98966.67;0.7365789;358487179;"Hake";0.635366893881577;0.635366893881577
"BE1";"BE";0.121676767;6;6;1.301873479;2;24;-354.55;-333.9;0.0005;-1732438;6641.132;0.9056568;27300770;"Cod";0.228229640109514;0.228229640109514
"DK1";"DK";0.121676767;6;6;0.216516233025289;0.0000335668506714154;15.7974817422974;-4382.79157332836;-1750.77103567347;-0.029736931833703;-2126163.44875196;65112.1432740138;0.957587052843857;52762112.3881661;"Cod";0.355592413232662;0.355592413232662
"DE1";"DE";0.121676767;6;6;1.32261542012878;0.493048116713842;7.73769299424058;-1869.76755032396;-1592.84321481533;-0.00637363973440995;-6548095.26988325;297159.803639063;0.833014676839366;215083893.603568;"Cod";0.482734873178434;0.482734873178434
"EE1";"EE";0.121676767;6;6;0.792983263549358;0.0302548717051199;3.08067965788032;-14499.475091379;-5841.23392919005;-0.00395865167533634;-7383975.67137;231177.950973201;0.850795134614597;186525648.853159;"Cod";0.373239126100701;0.373239126100701
"IE1";"IE";0.121676767;6;6;1.01479569016347;1.54600133347241;24.213336025502;-436.395483572403;-459.258647813604;0.0012504641305467;-1500397.29865016;57266.1345158802;0.905346264829947;24209836.0213785;"Cod";0.35687720047036;0.35687720047036
"ES1";"ES";0.121676767;6;6;5.116702123;3;11;50925;15436;0.0001;-10130000;813051.3;0.6195;578611100;"Cod";0.601300605592213;0.601300605592213
"FR1";"FR";0.121676767;6;6;0.209456085850157;0.387917465831065;24.7171127646169;-44.4290963845687;-897.73219278762;0.00282349465390216;-3211005.39987578;210905.335346723;0.890873163855016;81002779.4792665;"Cod";0.367471897405678;0.367471897405678
"LV1";"LV";0.121676767;6;6;0.748934514;NA;3;-15166;-6058;-0.004;-7356000;225250;0.8531515;182531200;"Cod";0.363245434603519;0.363245434603519
"LT1";"LT";0.121676767;6;6;0.748934514;NA;3;-15166;-6058;-0.004;-7356000;225250;0.8531515;182531200;"Cod";0.363245434603519;0.363245434603519
"NL1";"NL";0.121676767;6;6;NA;NA;21;-0.06327;-0.06327;-0.0402;-0.05;0.9998182;1.0000476;1;"Cod";0.318266806169521;0.318266806169521
"PL1";"PL";0.121676767;6;6;0.894371222329508;0.0998931637501695;3.26638177000045;-12965.3203048625;-5342.29877945129;-0.00386347934287477;-7448367.87874766;244822.443837821;0.845371437483342;195719758.10295;"Cod";0.394296389150345;0.394296389150345
"PT1";"PT";0.121676767;6;6;0.850638374790573;0.49874217084099;19.3375260971967;8466.09559849818;2566.14196483955;-0.0335002301717027;-1684086.10522737;135168.490390063;0.936782554622557;96192586.1959836;"Cod";0.644539443451497;0.644539443451497
"FI1";"FI";0.121676767;6;6;0.748934514;NA;3;-15166;-6058;-0.004;-7356000;225250;0.8531515;182531200;"Cod";0.363245434603519;0.363245434603519
"SE1";"SE";0.121676767;6;6;0.542348114771318;NA;7.96512727962791;-10982.6218789314;-4386.97628242317;-0.0139854226401406;-5326917.99885075;163117.224693802;0.893671379632275;132181720.247884;"Cod";0.362143667684937;0.362143667684937
