;country;groupEU;nareas;;groupEU;;diff;;groupEU
1;Belgium;0;11.39393939;Belgium;1;10.57142857;-0.82;;0 -> antes UE
2;Denmark;0;6.303030303;Denmark;1;11.5;5.2;;1 -> despois UE
3;France;0;15.06060606;France;1;18.18518519;3.12;;
4;Netherlands;0;7.393939394;Netherlands;1;5.25;-2.14;;
5;Poland;0;7.892857143;Poland;1;4.714285714;-3.18;;
6;Portugal;0;2.333333333;Portugal;1;2.666666667;0.33;;
7;Spain;0;5.590909091;Spain;1;4.607142857;-0.98;;
8;;;;;;;;;
9;;;;;;;;;
10;;;;;;;;;
11;;groupEU;;;;;;;
12;Germany;1;13.25;;;;;;
13;Estonia;1;3.5;;;;;;
14;Latvia;1;3.52173913;;;;;;
15;Lithuania;1;1.173913043;;;;;;
16;;;;;;;;;
17;;;;;;;;;
18;;;;;;;;;
