COUNTRY;ABUNDANCE;TEMPERATURE;OVEREXPLOITATION;RECOVERY 
BE;0.29858797;0.214285714;0.217811159;0.504015116
DK;0.383926141;0.214285714;0.654113019;0.740198394
DE;0.468056828;0.214285714;0.438540773;0.740198394
EE;0.416864199;0.214285714;0.498712446;0.527633444
IE;0.22235615;0.214285714;0.108905579;0.504015116
ES;0.146124331;0.214285714;;
FR;0.313111177;0.214285714;0.323226037;0.653597859
LV;0.687604068;0.214285714;0.498712446;0.527633444
LT;0.687604068;0.214285714;0.498712446;0.527633444
NL;0.318050024;0.214285714;0.809513591;0.952763344
PL;0.416864199;0.214285714;0.498712446;0.527633444
PT;0.146124331;0.214285714;;
FI;0.687604068;0.214285714;0.498712446;0.527633444
SE;0.502827046;0.214285714;0.654113019;0.740198394
