SPECIES;STOCK;area2006;area2100;SSBrecent;SSBhistoric;Ftrend;Rtrend;T50;Trange;OverMSY;Status;Recovery
Atlantic cod;CODCOASTNOR;7014930;7868484;-0.034;-0.033;-0.012;-0.073;6;6;NA;NA;NA
Atlantic cod;CODNEAR;7014930;7868484;0.039;-0.003;0.025;-0.008;6;6;NA;3;NA
Atlantic cod;CODFAPL;7014930;7868484;-0.023;-0.013;0.008;-0.009;6;6;NA;2;2
Atlantic cod;CODICE;7014930;7868484;-0.004;NA;0.01;-0.009;6;6;NA;NA;NA
Atlantic cod;CODBA2532;7014930;7868484;-0.004;-0.003;-0.091;-0.015;6;6;0.362;0;21
Atlantic cod;CODKAT;7014930;7868484;-0.032;-0.061;0.043;-0.049;6;6;0.572;2;3
Atlantic cod;CODIS;7014930;7868484;-0.056;-0.036;0.434;-0.034;6;6;2.98;0;22
Atlantic cod;CODVIa;7014930;7868484;NA;NA;0.003;NA;6;6;5.01;0;NA
Atlantic cod;CODNS;7014930;7868484;-0.038;-0.038;0.009;-0.019;6;6;3.56;0.66;22
