country,AreaChange,Trange,T50,OverMSY,Status,Recovery,species,SSBrecent,SSBhistoric,Ftrend,Rtrend
BE,0.121676767,6,6,5.026933312,3,15,Hake,0.04943078311112216,0.056756481752897214,-0.01683458486253136,1.1760532166758465e-4
DK,0.121676767,6,6,5.026933312,3,15,Hake,0.04943078311112216,0.056756481752897214,-0.01683458486253136,1.1760532166758465e-4
DE,0.121676767,6,6,5.026933312,3,15,Hake,0.04943078311112216,0.056756481752897214,-0.01683458486253136,1.1760532166758465e-4
ES,0.121676767,6,6,2.247373392661773,3,13.187157192257173,Hake,0.03189641951086011,0.03764094592467069,-0.0013786318171459474,0.0024224863884719622
FR,0.121676767,6,6,4.477180637824245,3,14.641448570875138,Hake,0.04749059341800323,0.05464133423811564,-0.013719840913910911,3.838319039460051e-4
NL,0.121676767,6,6,5.026933312,3,15,Hake,0.04943078311112216,0.056756481752897214,-0.01683458486253136,1.1760532166758465e-4
PT,0.121676767,6,6,0.427152392,3,12,Hake,-0.031807339680973615,-0.031807339680973615,0.008361155950713076,0.00923143891857871
SE,0.121676767,6,6,5.026933312,3,15,Hake,0.04943078311112216,0.056756481752897214,-0.01683458486253136,1.1760532166758465e-4
BE,0.121676767,6,6,1.301873479,2,24,Cod,-0.05338698282160331,-0.05027757316072019,5.520855140711139e-4,-0.06345747757297687
DK,0.121676767,6,6,0.21651623302528897,3.3566850671415386e-5,15.7974817422974,Cod,-0.06731143152336576,-0.02688854870443499,-0.031054024535304463,-0.04029716310654829
DE,0.121676767,6,6,1.3226154201287803,0.49304811671384197,7.7376929942405805,Cod,-0.006292128098842815,-0.00536022434834433,-0.0076512934425031825,-0.030444377587623445
EE,0.121676767,6,6,0.7929832635493578,0.03025487170511989,3.08067965788032,Cod,-0.0627199740733917,-0.02526726231718868,-0.0046528847125219775,-0.03958691856465803
IE,0.121676767,6,6,1.0147956901634658,1.546001333472415,24.213336025502,Cod,-0.0076204808873801,-0.008019724950812766,0.0013811998559264756,-0.0619746989333277
ES,0.121676767,6,6,5.116702123,3,11,Cod,0.06263442417471074,0.018985271901047325,1.6142050040355123e-4,-0.017507441526787165
FR,0.121676767,6,6,0.2094560858501569,0.3879174658310651,24.71711276461694,Cod,-2.106589494833236e-4,-0.004256564639826551,0.003169356501529626,-0.03964068172126949
LV,0.121676767,6,6,0.748934514,NA,3,Cod,-0.06732963374028857,-0.026894561598224197,-0.004688499053216223,-0.04029995967812626
LT,0.121676767,6,6,0.748934514,NA,3,Cod,-0.06732963374028857,-0.026894561598224197,-0.004688499053216223,-0.04029995967812626
NL,0.121676767,6,6,NA,NA,21,Cod,-0.0632815045775322,-0.0632815045775322,-0.04019808657107921,-0.05
PL,0.121676767,6,6,0.8943712223295077,0.09989316375016954,3.266381770000452,Cod,-0.052958054423520126,-0.02182111531812915,-0.004570155994832622,-0.03805629002887768
PT,0.121676767,6,6,0.8506383747905735,0.4987421708409897,19.3375260971967,Cod,0.06263364763538536,0.01898476455151862,-0.03576094581009829,-0.017507441808417554
FI,0.121676767,6,6,0.748934514,NA,3,Cod,-0.06732963374028857,-0.026894561598224197,-0.004688499053216223,-0.04029995967812626
SE,0.121676767,6,6,0.5423481147713182,NA,7.965127279627912,Cod,-0.06732962689591893,-0.026894623119405422,-0.0156494019601425,-0.04029995969836857
