SPECIES;COUNTRIES;STOCK;HDI;TAC;Swaps;Norganizations
European hake;BE;HAKENRTN;0.896;528;8;1
European hake;BE;HAKESOTH;0.896;0;8;1
European hake;DK;HAKENRTN;0.925;4368;39;2
European hake;DK;HAKESOTH;0.925;0;39;2
European hake;DE;HAKENRTN;0.926;212;-165;14
European hake;DE;HAKESOTH;0.926;0;-165;14
European hake;ES;HAKENRTN;0.884;25471;87;40
European hake;ES;HAKESOTH;0.884;8848;87;40
European hake;FR;HAKENRTN;0.897;47078;-49;21
European hake;FR;HAKESOTH;0.897;849;-49;21
European hake;PT;HAKENRTN;0.843;0;21;15
European hake;PT;HAKESOTH;0.843;4129;21;15
European hake;SE;HAKENRTN;0.913;215;0;6
European hake;SE;HAKESOTH;0.913;0;0;6
