SPECIES;COUNTRIES;STOCK;ADAPTIVE.MNG;CATCH.DEP;FLEET.MOBILITY;GEAR.DIVERSITY
European hake;BE;HAKENRTN;0.0344;0.9541;0.216;0
European hake;BE;HAKESOTH;0.0344;NA;0.216;0
European hake;DK;HAKENRTN;0.2232;0.8974;0.7928;0
European hake;DK;HAKESOTH;0.2232;NA;0.7928;0
European hake;DE;HAKENRTN;0.1064;0.9891;0.4357;0
European hake;DE;HAKESOTH;0.1064;NA;0.4357;0
European hake;ES;HAKENRTN;0.5236;0.8113;0.2706;0
European hake;ES;HAKESOTH;0.5236;0.8388;0.2706;0
European hake;FR;HAKENRTN;0.2289;0.6668;1;0
European hake;FR;HAKESOTH;0.2289;0.9867;1;0
European hake;PT;HAKENRTN;0.1081;0.9999;0.2241;0
European hake;PT;HAKESOTH;0.1081;0.5466;0.2241;0
European hake;SE;HAKENRTN;0.5668;0.5669;NA;0
European hake;SE;HAKESOTH;0.5668;NA;NA;0
